Device Code,Device Name
xperia xz premium,Sony Xperia XZ Premium
xperia xz1,Sony Xperia XZ1
xperia z,Sony Xperia Z
xperia z ultra,Sony Xperia Z Ultra
xperia z1,Sony Xperia Z1
xperia z1 compact,Sony Xperia Z1 Compact
xperia z1 f,Sony Xperia Z1 f
xperia z1s,Sony Xperia Z1s
xperia z2,Sony Xperia Z2
xperia z2 tablet,Sony Xperia Z2 Tablet
xperia z2a,Sony Xperia Z2a
xperia z3,Sony Xperia Z3
xperia z3 compact,Sony Xperia Z3 Compact
xperia z3 dual,Sony Xperia Z3 Dual
xperia z3+,Sony Xperia Z3+
xperia z3v,Sony Xperia Z3v
xperia z5,Sony Xperia Z5
xperia z5 compact,Sony Xperia Z5 Compact
xperia z5 premium,Sony Xperia Z5 Premium
sony_ericsson,Sony_ericsson Devices
xperia arc s,Sony_ericsson Xperia Arc S
camon c8,Tecno Camon C8
camon i,Tecno Camon I
tecno,Tecno Devices
f1,Tecno F1
pop 1,Tecno Pop 1
spark 2,Tecno Spark 2
spark k7,Tecno Spark K7
w2,Tecno W2
w3,Tecno W3
w4,Tecno W4
wx3,Tecno WX3
wx3 pro,Tecno WX3 Pro
y2,Tecno Y2
true,True Devices
smart max 4.0 plus,True Smart Max 4.0 Plus
1603,Vivo 1603
vivo,Vivo Devices
v11,Vivo V11
v11 pro,Vivo V11 Pro
v3,Vivo V3
v5,Vivo V5
v5 plus,Vivo V5 Plus
v5s,Vivo V5s
v7,Vivo V7
v7+,Vivo V7+
v9,Vivo V9
v9 youth,Vivo V9 Youth
vivo 1603,Vivo vivo 1603
y15,Vivo Y15
y21,Vivo Y21
y21l,Vivo Y21L
y51,Vivo Y51
y51l,Vivo Y51L
y53,Vivo Y53
y55l,Vivo Y55L
y55s,Vivo Y55S
y66,Vivo Y66
y69,Vivo Y69
y71,Vivo Y71
y81,Vivo Y81
y81i,Vivo Y81i
y83,Vivo Y83
y85,Vivo Y85
y91,Vivo Y91
y91c,Vivo Y91C
y93,Vivo Y93
y95,Vivo Y95
vodafone,Vodafone Devices
smart kicka,Vodafone Smart Kicka
smart mini,Vodafone Smart Mini
wiko,Wiko Devices
jerry,Wiko Jerry
lenny 2,Wiko Lenny 2
lenny 3,Wiko Lenny 3
sunny 2 plus,Wiko Sunny 2 Plus
xiaomi,Xiaomi Devices
mi 4i,Xiaomi Mi 4i
mi 5,Xiaomi Mi 5
mi 8 lite,Xiaomi MI 8 Lite
mi a1,Xiaomi Mi A1
mi a2,Xiaomi Mi A2
mi a2 lite,Xiaomi Mi A2 Lite
mi max,Xiaomi Mi Max
mi max 2,Xiaomi Mi Max 2
redmi 1s,Xiaomi Redmi 1S
redmi 2,Xiaomi Redmi 2
redmi 3,Xiaomi Redmi 3
redmi 3s,Xiaomi Redmi 3S
redmi 4,Xiaomi Redmi 4
redmi 4a,Xiaomi Redmi 4A
redmi 4x,Xiaomi Redmi 4X
redmi 5,Xiaomi Redmi 5
redmi 5 plus,Xiaomi Redmi 5 Plus
redmi 5a,Xiaomi Redmi 5A
redmi 6,Xiaomi Redmi 6
redmi 6 pro,Xiaomi Redmi 6 Pro
redmi 6a,Xiaomi Redmi 6A
redmi note,Xiaomi Redmi Note
redmi note 2,Xiaomi Redmi Note 2
redmi note 3,Xiaomi Redmi Note 3
redmi note 4,Xiaomi Redmi Note 4
redmi note 4g,Xiaomi Redmi Note 4G
redmi note 4x,Xiaomi Redmi Note 4X
redmi note 5,Xiaomi Redmi Note 5
redmi note 5 pro,Xiaomi Redmi Note 5 Pro
redmi note 5a,Xiaomi Redmi Note 5A
redmi note 6 pro,Xiaomi Redmi Note 6 Pro
redmi note 7,Xiaomi Redmi Note 7
redmi s2,Xiaomi Redmi S2
redmi y1,Xiaomi Redmi Y1
redmi y1 lite,Xiaomi Redmi Y1 Lite
blade l2,Zte Blade L2
blade l5,Zte Blade L5
blade z max,Zte Blade Z Max
zte,Zte Devices
maven 3,Zte Maven 3
max xl,Zte Max XL
zmax pro,Zte Zmax Pro
